X17254_at,X65965_s_at,U70987_at,X65965_s_at,X55733_at,U30828_at,D30037_at,X65965_s_at,Y08765_s_at,J05243_at,Y08765_s_at,D49950_at,J02986_cds1_at,X17042_at,J02986_cds1_at,U57623_s_at,D50914_at,L27476_at,K01911_at,U90552_s_at,U60205_at,X14329_at,M74719_at,U61263_at,U11090_at,HG1227-HT1227_s_at,D84294_at,M98528_at,X75755_rna1_s_at,HG1227-HT1227_s_at,X75755_rna1_s_at,X68560_at,X75755_rna1_s_at,U22055_at,D21852_at,U61263_at,U65785_at,M99436_at,M59815_at,HG3513-HT3707_at,L20433_at,U10362_at,U07158_at,X87838_at,L20433_at,D63880_at,M62505_at,M11722_at,S73813_at,HG2591-HT2687_s_at,S73813_at,J02783_at,D29643_at,X87838_at,U20759_s_at,X87838_at,D29643_at,U94831_at,X76013_at,HG67-HT67_f_at,U83461_at,U36922_at,M27891_at,U36922_at,U70867_at,U94831_at,S78873_s_at,X80818_at,X67698_at,X00038_at,M32304_s_at,X80818_at,M28170_at,U33017_at,M28170_at,Z54367_s_at,D11139_at,U47634_at,M28170_at,M15841_at,M28170_at,M15841_at,M28170_at,U21551_at,S69231_s_at,U09587_at,S69231_s_at,J03909_at,M28170_at,HG2639-HT2735_s_at,U51240_at,M19301_at,X91103_at,M29474_at,V01510_rna1_at,Z11518_s_at,X77909_at,Z32765_at,M83186_at,M64788_at
346,2709,-67,2709,2286,-60,92,2709,1898,135,1898,346,183,7281,183,484,-82,116,30,769,76,961,1319,434,723,-271,258,-111,275,-271,275,180,275,1559,396,434,1139,-169,670,-15,-419,-65,660,1424,-419,164,-97,120,104,-1815,104,1046,2245,1424,-147,1424,2245,454,2105,-117,179,13,11686,13,667,454,-152,2737,3218,-200,2437,2737,110,-537,110,1466,15,990,110,204,110,204,110,79,-249,791,-249,4446,110,837,5420,82,147,15,-1061,19,172,1719,-46,-1610
486,1055,-118,1055,2258,-42,100,1055,1180,48,1180,211,269,6957,269,309,-42,48,30,478,-86,858,255,442,961,-185,251,-76,191,-185,191,130,191,1428,321,442,685,-404,251,-8,-412,-90,597,1983,-412,209,-341,74,-4,-1220,-4,1230,1335,1983,-201,1983,1335,549,1460,-136,148,-32,2745,-32,553,549,271,2367,1418,-130,1381,2367,44,-351,44,1184,32,442,44,237,44,237,44,138,-625,1015,-625,788,44,603,2799,134,130,-18,-665,102,126,1715,-94,-1192
1,597,3,597,1670,5,-24,597,68,294,68,109,50,6371,50,172,122,35,20,892,14,517,94,431,593,-187,211,-187,38,-187,38,82,38,2791,202,431,763,-161,728,14,-229,188,197,1830,-229,131,1213,1,196,-890,196,2332,775,1830,-145,1830,775,323,1989,-118,431,18,17846,18,491,323,97,2045,7041,-54,1558,2045,-27,-189,-27,710,-24,630,-27,3,-27,3,-27,89,-428,890,-428,13455,-27,209,4780,1,114,-109,-738,49,417,1900,-90,-305
644,1246,-400,1246,1925,-223,149,1246,2373,109,2373,106,181,7056,181,501,-232,281,-93,458,-60,946,131,670,1089,-126,358,-113,595,-126,595,164,595,2287,234,670,1193,-261,931,100,-457,114,884,3401,-457,94,-256,123,66,-338,66,2499,1229,3401,-123,3401,1229,405,2135,-121,332,114,21404,114,857,405,10,3401,3981,-86,1755,3401,-52,-580,-52,1949,69,860,-52,483,-52,483,-52,155,-237,1745,-237,3284,-52,876,4158,127,199,-86,-1082,242,937,2692,87,-1820
763,141,149,141,6212,-230,59,141,444,352,444,204,417,7248,417,313,252,84,84,495,-21,154,587,913,840,286,618,37,197,286,197,369,197,1851,578,913,1187,-96,523,57,-263,212,470,1413,-263,335,-130,-218,271,-230,271,1724,2424,1413,151,1413,2424,673,1708,-43,113,43,10737,43,548,673,328,2291,810,-3,971,2291,1,-316,1,709,51,929,1,383,1,383,1,132,-341,891,-341,2004,1,402,2023,28,183,-38,-634,31,385,1929,165,-540
619,247,-167,247,4282,-123,70,247,106,21,106,96,161,8964,161,397,208,-29,-98,363,-23,463,188,434,729,-174,214,102,172,-174,172,273,172,1436,94,434,1163,-27,314,15,-298,121,296,705,-298,326,-214,51,43,-652,43,990,1554,705,-106,705,1554,163,2130,-39,161,-13,3168,-13,397,163,-47,2083,1354,-208,758,2083,-100,-391,-100,241,-1,418,-100,-239,-100,-239,-100,23,-487,408,-487,1322,-100,170,2030,41,125,-74,-416,29,110,1136,-1,-731
748,466,68,466,646,-145,34,466,160,151,160,151,346,3653,346,466,43,148,9,785,-123,540,330,809,1063,-49,102,-37,247,-49,247,204,247,1050,129,809,1016,0,843,74,-395,278,284,896,-395,238,503,80,642,-519,642,250,896,896,-166,896,896,102,1360,-37,244,9,14193,9,639,102,102,2197,1344,6,1060,2197,-95,-6,-95,429,-64,676,-95,18,-95,18,-95,120,-574,417,-574,4519,-95,336,3214,40,117,-179,-664,-21,528,1505,18,-1217
464,315,217,315,2709,39,71,315,145,336,145,183,115,10449,115,229,38,126,-1,647,-71,515,183,626,929,-236,458,12,217,-236,217,410,217,1483,206,626,1403,-355,233,74,42,0,260,1216,42,428,-85,445,296,-648,296,3464,2460,1216,-104,1216,2460,326,1663,53,153,52,2460,52,482,326,87,2494,1443,-33,1024,2494,3,-301,3,260,7,716,3,-15,3,-15,3,180,-321,910,-321,269,3,242,1839,71,122,-98,-544,61,30,786,-72,-605
-28,697,108,697,1918,-175,69,697,730,288,730,175,225,975,225,455,218,136,-39,442,23,494,344,862,1025,-99,526,-73,374,-99,374,175,374,1567,400,862,1285,-30,624,101,387,-249,450,1961,387,95,-325,221,264,-1111,264,1218,2392,1961,-195,1961,2392,288,1653,-140,147,15,123,15,385,288,-236,3597,1033,-175,1064,3597,-175,-574,-175,450,43,422,-175,-19,-175,-19,-175,149,-578,1556,-578,-97,-175,266,1094,0,58,-60,-1046,-32,489,981,186,-1211
368,331,-20,331,845,-23,32,331,396,282,396,333,150,5314,150,171,206,125,-50,528,74,393,426,579,1223,-173,370,-44,296,-173,296,271,296,1839,440,579,1017,-64,1068,71,-331,-67,873,1232,-331,333,653,-53,354,-1047,354,1869,759,1232,-359,1232,759,442,1987,-180,491,32,24178,32,827,442,319,2474,2914,-192,1679,2474,132,-579,132,1077,30,604,132,245,132,245,132,187,-560,1010,-560,7793,132,423,5708,-81,48,-173,-377,9,169,2819,57,-929
655,947,-34,947,1274,-136,-44,947,633,5,633,250,352,5178,352,499,470,64,-7,766,52,985,1020,619,992,-435,415,-108,325,-435,325,305,325,2425,269,619,1340,-316,744,107,-475,309,636,1937,-475,318,-52,106,316,-662,316,1161,1695,1937,-148,1937,1695,222,2607,-328,761,105,19680,105,722,222,25,2959,2861,-35,1926,2959,-39,-710,-39,981,-65,585,-39,193,-39,193,-39,185,-547,1223,-547,11468,-39,702,5216,4,136,-81,-1186,58,281,3712,162,-1342
387,344,59,344,1241,-121,-10,344,1181,195,1181,455,672,6311,672,379,303,219,-121,2724,-65,1016,729,1051,3638,-355,222,-197,452,-355,452,295,452,1618,539,1051,1238,-493,173,40,-599,-612,2263,3470,-599,325,-699,-27,211,-1919,211,856,450,3470,-601,3470,450,116,2803,-271,178,-62,3293,-62,1133,116,-547,4551,683,-333,1740,4551,113,-769,113,73,97,1553,113,2,113,2,113,238,-539,837,-539,515,113,680,1927,97,287,-384,-883,-29,566,5731,178,-2000
645,1060,-117,1060,2332,-68,-84,1060,462,220,462,218,264,5086,264,187,113,59,-2,230,-83,477,200,285,628,-23,371,-173,312,-23,312,207,312,1468,275,285,1033,-183,259,30,-226,-87,314,1607,-226,156,-50,-170,269,-1006,269,1208,1232,1607,-234,1607,1232,353,1821,-243,214,91,12735,91,554,353,126,1947,1006,-166,678,1947,-97,-310,-97,297,13,523,-97,289,-97,289,-97,48,-111,852,-111,1277,-97,237,3220,46,56,-181,-817,75,121,1446,125,-713
315,588,-89,588,2362,26,43,588,391,230,391,65,39,3340,39,115,267,52,-10,149,76,315,265,334,484,-30,649,-71,304,-30,304,160,304,2121,362,334,949,-223,354,-39,-197,638,406,1458,-197,349,-126,249,28,-241,28,2164,1680,1458,-6,1458,1680,336,2445,13,26,145,2103,145,247,336,189,1154,917,-106,219,1154,-119,-208,-119,276,-41,56,-119,367,-119,367,-119,19,-352,1097,-352,299,-119,278,1525,99,21,6,-13,130,-113,2473,17,-615
536,1786,43,1786,4194,-149,124,1786,1286,102,1286,297,285,7858,285,450,134,126,32,115,-44,802,384,562,1138,-201,283,-136,471,-201,471,221,471,2059,297,562,1140,-113,947,61,-346,295,719,2571,-346,279,-243,-252,27,-1062,27,79,1567,2571,-125,2571,1567,350,2039,-152,211,114,1073,114,790,350,-71,3599,1796,-64,626,3599,-64,-469,-64,603,1,647,-64,339,-64,339,-64,234,-201,1619,-201,665,-64,377,5032,51,123,-64,-1188,104,420,2376,-20,-1862
467,668,77,668,2486,-23,54,668,491,237,491,190,42,8859,42,191,34,70,-63,279,57,466,751,219,528,-43,271,97,238,-43,238,294,238,1270,183,219,468,-99,233,21,-241,126,289,599,-241,277,-79,297,67,-438,67,1939,1574,599,-103,599,1574,46,1847,15,169,37,6962,37,194,46,213,1048,2005,318,717,1048,35,-147,35,305,-143,412,35,251,35,251,35,118,-119,1185,-119,908,35,270,3531,73,62,2,-451,66,258,1467,-149,79
-182,8583,-455,8583,3077,-65,34,8583,1037,238,1037,326,116,11003,116,216,217,198,-34,401,-8,698,279,342,1042,-202,183,-115,353,-202,353,102,353,1929,341,342,2908,-321,571,43,-369,290,1021,3796,-369,136,-359,412,132,-1213,132,5140,3665,3796,-138,3796,3665,-52,1994,-150,167,105,14555,105,652,-52,580,3444,4612,-105,2450,3444,-139,-491,-139,1539,-96,817,-139,-17,-139,-17,-139,122,-119,1753,-119,7198,-139,723,6945,36,83,-57,-754,93,363,3227,-56,-2069
493,558,-368,558,2970,-75,-34,558,664,57,664,197,231,5849,231,287,139,51,-24,338,-32,791,515,508,974,-327,469,-117,333,-327,333,180,333,1827,503,508,1296,-190,117,13,-363,444,592,1615,-363,321,-466,385,205,-1204,205,1052,2766,1615,-262,1615,2766,638,1594,-311,142,32,7238,32,689,638,-64,2410,1256,-53,1636,2410,-5,-613,-5,527,132,672,-5,14,-5,14,-5,222,-413,1188,-413,1721,-5,400,3011,20,-17,-61,-799,53,-20,6516,256,-2885
328,1268,-367,1268,3647,75,97,1268,1758,628,1758,259,165,3259,165,549,126,93,31,1021,13,767,1269,813,1179,-433,775,-206,505,-433,505,219,505,1810,489,813,1107,-89,834,52,-465,-124,739,2022,-465,283,-120,1284,272,-246,272,267,1878,2022,-247,2022,1878,358,2255,-38,155,103,12339,103,292,358,266,3767,3914,-43,1206,3767,-49,-556,-49,1841,26,719,-49,137,-49,137,-49,182,-625,868,-625,2596,-49,722,6517,122,69,18,-1118,35,51,2182,-123,-780
679,7501,-206,7501,3264,-138,78,7501,1078,-44,1078,100,258,8855,258,564,-159,176,-133,828,-139,942,974,935,1519,-416,223,-128,322,-416,322,334,322,1754,64,935,1304,-577,1112,53,-575,49,968,3450,-575,151,481,58,101,-695,101,1140,932,3450,-109,3450,932,473,1285,-88,193,154,3654,154,902,473,54,4148,2856,-39,1835,4148,18,-704,18,1263,105,1494,18,289,18,289,18,238,-332,950,-332,6692,18,955,4738,70,215,15,-1673,41,605,2868,-139,-2277
984,469,-150,469,2706,-113,-30,469,1643,206,1643,355,325,8518,325,356,-31,94,22,173,-47,505,532,590,1242,-164,480,-117,510,-164,510,129,510,1751,381,590,1157,-347,1179,-11,-461,-64,1107,1181,-461,226,-338,454,289,-891,289,1342,1413,1181,-314,1181,1413,576,2281,-256,240,-33,1537,-33,883,576,-103,3963,1210,-53,1118,3963,-11,-531,-11,842,-104,299,-11,138,-11,138,-11,154,-724,1167,-724,685,-11,456,1813,27,52,-162,-611,50,-88,1748,-172,-1479
394,290,-197,290,1084,-60,-24,290,317,-16,317,295,331,3628,331,290,158,100,45,269,-110,714,197,562,1130,-161,524,69,290,-161,290,36,290,1502,259,562,721,-55,1118,12,-158,33,408,916,-158,-4,-440,2,98,-973,98,509,625,916,-274,916,625,310,1738,-221,182,-110,1481,-110,839,310,-214,2104,709,-48,1108,2104,67,-550,67,-9,129,779,67,257,67,257,67,165,-637,1007,-637,149,67,415,2469,67,86,-24,-730,117,293,2108,67,-868
588,17703,-275,17703,1351,-262,112,17703,1100,-92,1100,283,249,10603,249,485,-55,241,-86,613,119,92,101,376,1045,-267,244,46,471,-267,471,123,471,2244,229,376,1473,-56,729,31,-558,609,689,2232,-558,410,269,455,116,-1161,116,3070,2643,2232,-162,2232,2643,557,1841,-215,328,21,17863,21,760,557,20,3876,3633,-65,2892,3876,-47,-606,-47,1780,-232,971,-47,218,-47,218,-47,138,-391,1292,-391,6127,-47,832,4664,53,168,-88,-943,86,15,4437,83,-2205
908,13557,-345,13557,2952,4,27,13557,764,87,764,311,303,8479,303,440,333,228,-25,324,-63,1044,262,724,712,-133,293,-41,265,-133,265,185,265,1436,221,724,802,-547,1301,64,-501,25,495,2940,-501,185,289,297,209,-1608,209,1649,1581,2940,-173,2940,1581,-194,2175,-100,241,2,13296,2,313,-194,145,3058,1450,-224,1271,3058,-21,-589,-21,1026,-38,1041,-21,189,-21,189,-21,108,-144,1859,-144,3832,-21,660,6595,-2,65,-93,-1091,62,342,3572,-91,-1731
1325,767,-483,767,2046,-88,52,767,991,71,991,70,268,1285,268,553,0,165,101,403,-47,1171,500,911,998,-171,156,-29,372,-171,372,174,372,1467,147,911,1021,-73,839,42,-433,292,467,1949,-433,118,-444,166,83,-356,83,1051,881,1949,-153,1949,881,-299,2461,-45,111,91,1661,91,745,-299,210,2047,708,-90,1887,2047,-18,-514,-18,456,-73,847,-18,133,-18,133,-18,143,-204,1594,-204,-59,-18,563,2502,89,152,-51,-1225,-11,509,3523,-265,-1333
345,1923,-185,1923,2252,-19,156,1923,782,786,782,214,241,33,241,422,234,125,946,369,-120,994,2739,644,1192,-113,258,-135,294,-113,294,193,294,907,412,644,1255,-224,567,-55,-207,154,258,687,-207,166,-374,8700,140,-248,140,-21,726,687,-111,687,726,325,924,-36,212,166,-65,166,934,325,-96,3295,813,7,584,3295,67,-598,67,434,12,468,67,284,67,284,67,173,-762,695,-762,-74,67,304,11027,21,224,506,-707,89,424,1409,-53,-1202
-153,234,-222,234,1216,84,70,234,341,994,341,234,288,1269,288,418,187,92,-98,1526,-36,323,1856,437,1137,-221,291,-184,461,-221,461,128,461,1240,426,437,629,-55,98,24,-414,-367,467,1109,-414,-23,-547,4614,317,-1143,317,1095,594,1109,-257,1109,594,560,1606,-543,125,213,68,213,1338,560,-79,1594,446,-136,1226,1594,437,-853,437,199,-5,562,437,155,437,155,437,288,-269,821,-269,445,437,496,3004,43,71,54,-664,64,-64,2100,99,-1016
252,128,-46,128,2418,-79,100,128,212,615,212,-4,76,1183,76,104,480,139,136,521,65,252,457,417,400,-233,579,-112,314,-233,314,665,314,1955,541,417,635,10,277,6,-162,322,361,1274,-162,867,-53,1487,34,-244,34,754,900,1274,-70,1274,900,308,2628,-28,90,264,-125,264,289,308,118,1236,876,-153,369,1236,84,-237,84,190,18,424,84,458,84,458,84,164,-273,978,-273,244,84,328,6092,34,-3,175,-330,211,95,1105,81,-612
367,4048,-221,4048,2079,225,80,4048,333,233,333,35,121,1045,121,300,456,214,3943,771,-64,548,2501,833,709,-145,746,179,814,-145,814,237,814,1370,416,833,801,34,963,66,-338,331,432,826,-338,376,-385,4357,98,283,98,872,760,826,-113,826,760,-579,1775,20,124,700,250,700,413,-579,497,1757,1548,-164,586,1757,-22,-374,-22,152,73,716,-22,265,-22,265,-22,33,-483,2014,-483,167,-22,541,10820,-9,84,102,-728,106,424,1939,-150,-526
829,552,-81,552,1709,367,86,552,221,853,221,43,96,7064,96,302,124,295,788,706,74,358,1495,567,629,-55,769,96,451,-55,451,401,451,665,401,567,749,-511,478,4,-326,447,418,723,-326,586,-153,7540,158,-773,158,896,329,723,-81,723,329,305,1550,197,60,850,-96,850,391,305,312,682,735,24,701,682,420,-314,420,425,93,295,420,122,420,122,420,100,-353,1408,-353,370,420,242,7117,21,-16,874,-185,127,185,2074,-36,-511
-102,210,-118,210,1971,182,108,210,90,773,90,97,-97,155,-97,160,148,198,2758,504,-72,372,2425,619,637,-97,548,169,450,-97,450,484,450,566,489,619,590,-160,404,84,-207,-563,391,827,-207,560,-219,8791,134,249,134,492,1006,827,-186,827,1006,484,1713,-197,115,916,502,916,315,484,169,1313,578,23,240,1313,180,-274,180,223,2,388,180,-16,180,-16,180,170,-188,1025,-188,160,180,369,9766,-5,-41,2189,-278,127,62,890,-211,-847
-125,1030,-255,1030,3092,-140,98,1030,21,382,21,142,-359,1327,-359,142,541,269,2346,368,142,171,2756,391,385,-3,942,42,467,-3,467,317,467,1028,403,391,782,-253,-37,104,-238,-1383,293,411,-238,462,-129,12307,425,-323,425,329,1087,411,-270,411,1087,202,1713,-208,0,151,78,151,246,202,195,1592,1062,35,455,1592,32,-314,32,274,-103,212,32,-1062,32,-1062,32,86,-592,669,-592,318,32,194,11375,102,-18,309,-647,174,-212,983,143,-1208
150,779,-127,779,2282,14,197,779,245,443,245,80,155,283,155,176,330,102,2245,704,-8,306,4097,521,518,-80,756,-49,447,-80,447,259,447,1290,340,521,593,-170,362,23,88,14,493,398,88,368,-92,5433,119,-103,119,446,922,398,-23,398,922,346,1672,41,63,118,49,118,228,346,4,1504,1006,-106,436,1504,313,-215,313,521,-38,414,313,358,313,358,313,1,-257,695,-257,1171,313,323,6753,-17,18,63,-340,98,90,929,-90,-589
189,369,-119,369,1588,332,48,369,88,510,88,191,100,2450,100,317,134,342,-67,558,128,138,1971,550,680,12,941,12,388,12,388,462,388,1863,468,550,1134,-111,-60,-77,-8,294,680,1365,-8,741,-187,7369,149,-174,149,561,1168,1365,-121,1365,1168,233,1550,42,178,-33,107,-33,432,233,300,1681,1033,48,582,1681,2,-308,2,258,6,468,2,195,2,195,2,229,-529,1660,-529,1342,2,100,6392,10,2,105,-304,149,144,1422,252,-31
